id,name,analyst,current_url,final_url,status_code,verdict,why,rss_feeds,ical_feeds,jsonld_events,sec_cik,suggested_action
2435,Delek Logistics Partners,Rodrigo Maass,https://ir.deleklogistics.com/events-and-presentations/default.aspx,https://ir.deleklogistics.com/events-and-presentations/default.aspx,200,calendar-page,calendar/results keywords present,0,0,0,,keep-current
3210,Delivery Hero,Ross Murray,https://ir.deliveryhero.com/financial-calendar,https://ir.deliveryhero.com/financial-calendar,200,calendar-page,calendar/results keywords present,0,0,0,,keep-current
1591,Dell,Cata Rifo,https://investors.delltechnologies.com/news-events/upcoming-events,https://investors.delltechnologies.com/news-events/upcoming-events,403,ir-page-no-calendar,IR content but no calendar keywords,0,0,0,,find-calendar-subpage
2524,Delta Air Lines,Maria Luisa Torres,https://ir.delta.com/events-and-presentations/default.aspx#event-calendar,https://ir.delta.com/events-and-presentations/default.aspx,200,calendar-page,calendar/results keywords present,0,0,0,0000027904,use-sec
1179,Demire,Christina Rankin,https://www.demire.ag/en/financial-calendar/,https://www.demire.ag/en/financial-calendar/,200,calendar-page,calendar/results keywords present,2,0,0,,use-rss
57893,Deutsche Bank,Sharusree Nandakumar,https://investor-relations.db.com/reports-and-events/financial-calendar,https://investor-relations.db.com/reports-and-events/financial-calendar,200,calendar-page,calendar/results keywords present,0,0,0,,keep-current
57900,Deutsche Post,Zoë Miller,https://www.deutschepost.de/en/p/presse-distribution.html,https://www.deutschepost.de/en/p/presse-distribution.html,0,fetch-error,"TimeoutError: Page.goto: Timeout 20000ms exceeded.
Call log:
navigating to ""https://www.deutsc",0,0,0,,replace-url
57903,Deutsche Telekom,Neil McShane,https://www.telekom.com/en/media/media-calendar,https://www.telekom.com/en/media/media-calendar,404,http-404,not found,0,0,0,0000946770,use-sec
64644,Development Bank of Latin America and the Caribbean (CAF),Agustin Maza,https://www.caf.com/en/investors/,https://www.caf.com/en/investors/,200,ir-page-no-calendar,IR content but no calendar keywords,1,0,0,,use-rss
57923,Diageo,Joss Smyth,https://www.diageo.com/en/investors/results-reports-and-events/financial-calendar,https://www.diageo.com/en/investors/results-reports-and-events/financial-calendar,200,calendar-page,calendar/results keywords present,0,0,0,0000835403,use-sec
2399,Diamondback Energy,Martin Cofre,https://ir.diamondbackenergy.com/news-releases/news-release-details/diamondback-energy-inc-schedules-fourth-quarter-2025-conference,,0,fetch-error,timeout,0,0,0,0001539838,use-sec
858,Digi Communications,Danny Bin Khairul Nizam,https://www.digi-communications.ro/en/investor-relations/bonds/financial-calendar-bonds,https://www.digi-communications.ro/en/investor-relations/bonds/financial-calendar-bonds,200,calendar-page,calendar/results keywords present,0,0,0,,keep-current
3119,Digicel,Agustin Maza,https://www.digicelgroup.com/en/investor-relations#reporting,https://corporate.digicelgroup.com/en/investor-relations#reporting,200,ir-page-no-calendar,IR content but no calendar keywords,0,0,0,,find-calendar-subpage
2236,Diversified Healthcare Trust,Ignacio Zamorano,https://www.dhcreit.com/investors/events-and-presentations/default.aspx,https://www.dhcreit.com/investors/events-and-presentations/default.aspx,200,calendar-page,calendar/results keywords present,0,0,0,0001075415,use-sec
658,Dometic,Bryan McManus,https://www.dometicgroup.com/en-us/investors/financial-calendar,https://www.dometicgroup.com/en-us/investors/financial-calendar,200,calendar-page,calendar/results keywords present,0,0,0,,keep-current
57978,Dominion Energy,Martin Cofre,https://news.dominionenergy.com/overview/default.aspx,https://news.dominionenergy.com/overview/default.aspx,200,non-ir-page,no IR/calendar signals,0,0,0,0000715957,use-sec
660,Douglas GmbH,Zoë Miller,https://douglas.group/en/investors/financial-calendar,https://douglas.group/en/investors/financial-calendar,200,calendar-page,calendar/results keywords present,0,0,0,,keep-current
1017,Drax,Daire Vint,https://www.drax.com/investors/financial-calendar/,https://www.drax.com/investors/financial-calendar/,200,calendar-page,calendar/results keywords present,2,0,0,,use-rss
3587,Driven Brands,Anais Ruz,https://investors.drivenbrands.com/news-and-events/events-and-presentations/default.aspx,https://investors.drivenbrands.com/news-and-events/events-and-presentations/default.aspx,200,calendar-page,calendar/results keywords present,0,0,0,0001804745,use-sec
58031,Dubai Islamic Bank,Sharusree Nandakumar,https://www.dib.ae/about-us/investor-relations/home,https://www.dib.ae/about-us/investor-relations/home,200,calendar-page,calendar/results keywords present,0,0,0,,keep-current
